round,client_req,new_updates,avg_loss,queue_size,client_train_acc,client_test_acc,client_train_acc_avg,client_test_acc_avg,accuracy_score,aggregator_time
17,9,7,"[1.497037649154663, 1.5203816592693329, 1.2398368418216705, 1.5508583784103394, 1.237832933664322, 1.2510044574737549, 1.2461915016174316]",12,"[0.2777777777777778, 0.2222222222222222, 0.9841269841269841, 0.2222222222222222, 0.8888888888888888, 0.8809523809523809, 0.9285714285714286]","[0.7035460992907802, 0.7995271867612294, 0.9134751773049645, 0.807565011820331, 0.9049645390070922, 0.9205673758865248, 0.9177304964539007]",0.6292517006802721,0.852482269503546,0.8978723404255319,0.04950237274169922
18,7,6,"[1.5014115273952484, 1.284799486398697, 1.2517522871494293, 1.5299996137619019, 1.5350252389907837, 1.528339296579361]",13,"[0.40476190476190477, 0.8492063492063492, 0.9285714285714286, 0.1349206349206349, 0.12698412698412698, 0.14285714285714285]","[0.5966903073286052, 0.8264775413711584, 0.9408983451536643, 0.8472813238770686, 0.840661938534279, 0.8524822695035461]",0.4312169312169312,0.8174152876280535,0.849645390070922,0.01597905158996582
19,10,9,"[1.2819339632987976, 1.2432512640953064, 1.2457049787044525, 1.273975819349289, 1.2697004675865173, 1.2361940741539001, 1.2706570029258728, 1.4981283843517303, 1.2413205802440643]",14,"[0.8571428571428571, 0.9444444444444444, 0.8492063492063492, 0.8888888888888888, 0.8650793650793651, 0.9206349206349206, 0.8888888888888888, 0.24603174603174602, 0.9206349206349206]","[0.8283687943262411, 0.9130023640661938, 0.8973995271867612, 0.9130023640661938, 0.9153664302600473, 0.900709219858156, 0.9087470449172577, 0.7583924349881797, 0.8955082742316784]",0.8201058201058202,0.8811662726556343,0.902127659574468,0.02580094337463379
20,9,8,"[1.2328421771526337, 1.243339329957962, 1.5542922914028168, 1.2294977903366089, 1.5234481394290924, 1.2176357805728912, 1.255842387676239, 1.227993220090866]",15,"[0.8968253968253969, 0.9365079365079365, 0.15873015873015872, 0.9047619047619048, 0.16666666666666666, 0.9285714285714286, 0.9126984126984127, 0.9920634920634921]","[0.9356973995271868, 0.9380614657210402, 0.8539007092198582, 0.9328605200945627, 0.8312056737588652, 0.9333333333333333, 0.9442080378250591, 0.932387706855792]",0.7371031746031746,0.9127068557919622,0.9319148936170213,0.020000934600830078
21,9,9,"[1.2744740843772888, 1.2620395123958588, 1.4711677134037018, 1.555287480354309, 1.5777503848075867, 1.2210191488265991, 1.580064594745636, 1.5450815856456757, 1.5317711532115936]",15,"[0.8571428571428571, 0.9682539682539683, 0.4126984126984127, 0.1349206349206349, 0.0873015873015873, 0.9682539682539683, 0.1111111111111111, 0.0873015873015873, 0.10317460317460317]","[0.9101654846335697, 0.9078014184397163, 0.5914893617021276, 0.9092198581560283, 0.9182033096926714, 0.9508274231678487, 0.9153664302600473, 0.8983451536643026, 0.8959810874704491]",0.41446208112874783,0.8774888363540846,0.9092198581560283,0.02886199951171875
22,8,7,"[1.2724662125110626, 1.2801686525344849, 1.4871718883514404, 1.2517362833023071, 1.2394905984401703, 1.2336853444576263, 1.2403827607631683]",16,"[0.8253968253968254, 0.8174603174603174, 0.30158730158730157, 0.9365079365079365, 0.9682539682539683, 0.9365079365079365, 0.9444444444444444]","[0.8297872340425532, 0.8368794326241135, 0.7541371158392435, 0.9423167848699764, 0.9390070921985816, 0.9319148936170213, 0.9390070921985816]",0.8185941043083901,0.8818642350557244,0.932387706855792,0.04467201232910156
23,9,10,"[1.2227600514888763, 1.215181291103363, 1.5535752475261688, 1.2268644273281097, 1.1779815256595612, 1.2162132859230042, 1.5736004710197449, 1.2105476260185242, 1.2251708209514618, 1.2100406289100647]",15,"[0.9523809523809523, 0.9603174603174603, 0.11904761904761904, 0.9047619047619048, 0.9841269841269841, 0.8888888888888888, 0.09523809523809523, 0.9761904761904762, 0.9682539682539683, 0.9444444444444444]","[0.9309692671394799, 0.9508274231678487, 0.9063829787234042, 0.9513002364066194, 0.9375886524822695, 0.9546099290780142, 0.9182033096926714, 0.9479905437352246, 0.950354609929078, 0.948936170212766]",0.7793650793650794,0.9397163120567378,0.9465721040189126,0.03708815574645996
24,8,10,"[1.2809028923511505, 1.2582535445690155, 1.268010526895523, 1.2212468981742859, 1.5574565529823303, 1.2027255594730377, 1.201136589050293, 1.230458527803421, 1.2130041420459747, 1.208530604839325]",13,"[0.8968253968253969, 0.8968253968253969, 0.9523809523809523, 0.9285714285714286, 0.0873015873015873, 0.9444444444444444, 0.9920634920634921, 0.9126984126984127, 0.9603174603174603, 0.9365079365079365]","[0.8898345153664302, 0.9182033096926714, 0.9281323877068558, 0.9271867612293144, 0.924822695035461, 0.9635933806146572, 0.9612293144208038, 0.9654846335697399, 0.9635933806146572, 0.9598108747044918]",0.8507936507936508,0.9401891252955081,0.9546099290780142,0.07205390930175781
25,8,7,"[1.2373477518558502, 1.2706439793109894, 1.229441076517105, 1.1836782097816467, 1.2076102793216705, 1.1898943781852722, 1.1905375123023987]",14,"[0.9365079365079365, 0.8968253968253969, 0.9920634920634921, 0.9603174603174603, 0.9761904761904762, 0.9444444444444444, 0.9523809523809523]","[0.932387706855792, 0.9210401891252955, 0.9352245862884161, 0.9687943262411347, 0.968321513002364, 0.968321513002364, 0.968321513002364]",0.9512471655328799,0.9517730496453899,0.9664302600472813,0.02870488166809082
26,9,11,"[1.2284265756607056, 1.5784821212291718, 1.195322960615158, 1.1642847061157227, 1.1596079766750336, 1.5764931738376617, 1.6510329246520996, 1.189770668745041, 1.1801407933235168, 1.1662626564502716, 1.6027461290359497]",12,"[0.8968253968253969, 0.1349206349206349, 0.9761904761904762, 0.9761904761904762, 0.9682539682539683, 0.031746031746031744, 0.031746031746031744, 0.9761904761904762, 0.9365079365079365, 0.9682539682539683, 0.03968253968253968]","[0.9271867612293144, 0.9290780141843972, 0.9612293144208038, 0.9697399527186761, 0.9716312056737588, 0.9569739952718677, 0.9621749408983451, 0.9735224586288416, 0.9730496453900709, 0.9706855791962175, 0.9583924349881797]",0.6305916305916306,0.959424027509134,0.9650118203309692,0.043804168701171875
27,9,10,"[1.2131224572658539, 1.1807571351528168, 1.6332120299339294, 1.167965680360794, 1.1736022233963013, 1.1731860935688019, 1.1819332242012024, 1.1914583444595337, 1.201804518699646, 1.1920591592788696]",11,"[0.9682539682539683, 0.9761904761904762, 0.047619047619047616, 0.9603174603174603, 0.9523809523809523, 0.9126984126984127, 0.9841269841269841, 0.9523809523809523, 0.9920634920634921, 0.9761904761904762]","[0.9498817966903074, 0.9730496453900709, 0.956501182033097, 0.9697399527186761, 0.9697399527186761, 0.9735224586288416, 0.9721040189125295, 0.9711583924349881, 0.9730496453900709, 0.9739952718676123]",0.8722222222222223,0.9682742316784869,0.9706855791962175,0.03234672546386719
28,8,10,"[1.262377381324768, 1.220727950334549, 1.2340481579303741, 1.5500451028347015, 1.1975108981132507, 1.6777442693710327, 1.1320335865020752, 1.1838175356388092, 1.1414100229740143, 1.1559039950370789]",9,"[0.9126984126984127, 0.9523809523809523, 0.8968253968253969, 0.12698412698412698, 0.9761904761904762, 0.015873015873015872, 0.9841269841269841, 0.9761904761904762, 0.9841269841269841, 0.9761904761904762]","[0.9120567375886525, 0.9319148936170213, 0.9394799054373523, 0.8765957446808511, 0.9678486997635933, 0.968321513002364, 0.9749408983451536, 0.9782505910165484, 0.9754137115839243, 0.975886524822695]",0.7801587301587302,0.9500709219858156,0.9687943262411347,0.060906171798706055
29,9,10,"[1.5559451878070831, 1.2060644924640656, 1.204607993364334, 1.177694708108902, 1.1819572448730469, 1.18130761384964, 1.5842826962471008, 1.1928141117095947, 1.6178867518901825, 1.5935003459453583]",8,"[0.06349206349206349, 0.9285714285714286, 0.9365079365079365, 0.9682539682539683, 0.9523809523809523, 0.9761904761904762, 0.023809523809523808, 0.9920634920634921, 0.031746031746031744, 0.015873015873015872]","[0.9049645390070922, 0.9479905437352246, 0.9739952718676123, 0.9754137115839243, 0.9749408983451536, 0.9744680851063829, 0.9640661938534278, 0.9763593380614657, 0.9645390070921985, 0.9626477541371158]",0.5888888888888888,0.9619385342789599,0.9706855791962175,0.0942232608795166
