round,client_req,new_updates,avg_loss,queue_size,client_train_acc,client_test_acc,client_train_acc_avg,client_test_acc_avg,accuracy_score,aggregator_time
11,10,8,"[1.3533952236175537, 1.3149705529212952, 1.2508530914783478, 1.2656367421150208, 1.5022869408130646, 1.2576910257339478, 1.4865851998329163, 1.2717044055461884]",12,"[0.42063492063492064, 0.6111111111111112, 0.8809523809523809, 0.8333333333333334, 0.31746031746031744, 0.8412698412698413, 0.35714285714285715, 0.8968253968253969]","[0.46477541371158393, 0.5366430260047281, 0.8624113475177305, 0.8685579196217494, 0.6936170212765957, 0.8628841607565012, 0.6723404255319149, 0.8709219858156029]",0.6448412698412699,0.7290189125295508,0.8397163120567376,0.2150869369506836
12,7,8,"[1.2918080687522888, 1.3132392168045044, 1.316779226064682, 1.3316127061843872, 1.244431495666504, 1.546322226524353, 1.2701826393604279, 1.507988065481186]",11,"[0.6349206349206349, 0.5793650793650794, 0.5238095238095238, 0.5317460317460317, 0.8968253968253969, 0.2619047619047619, 0.9285714285714286, 0.29365079365079366]","[0.6127659574468085, 0.5446808510638298, 0.5432624113475177, 0.5839243498817966, 0.9016548463356974, 0.7801418439716312, 0.9130023640661938, 0.7442080378250591]",0.5813492063492063,0.7029550827423168,0.7555555555555555,0.180433988571167
13,9,9,"[1.4998188614845276, 1.2842010855674744, 1.5163195729255676, 1.2653982937335968, 1.4853794276714325, 1.284231275320053, 1.4751366972923279, 1.5103900730609894, 1.2835381031036377]",11,"[0.3412698412698413, 0.9126984126984127, 0.2857142857142857, 0.8174603174603174, 0.4365079365079365, 0.8253968253968254, 0.47619047619047616, 0.40476190476190477, 0.8650793650793651]","[0.6023640661938534, 0.8860520094562647, 0.7163120567375887, 0.8241134751773049, 0.6364066193853428, 0.8591016548463357, 0.6118203309692671, 0.6548463356973995, 0.857210401891253]",0.5961199294532629,0.7386918833727344,0.7290780141843972,0.2683742046356201
14,9,9,"[1.3141603767871857, 1.4553049802780151, 1.2598943710327148, 1.4995648860931396, 1.510962188243866, 1.2729279398918152, 1.2691958546638489, 1.2851386070251465, 1.2875977754592896]",11,"[0.5238095238095238, 0.5, 0.8809523809523809, 0.3888888888888889, 0.3968253968253968, 0.8492063492063492, 0.8095238095238095, 0.873015873015873, 0.8015873015873016]","[0.518676122931442, 0.4666666666666667, 0.8652482269503546, 0.6524822695035462, 0.6364066193853428, 0.8184397163120567, 0.8009456264775414, 0.8283687943262411, 0.8236406619385342]",0.6693121693121692,0.7123194116101917,0.8,0.1461937427520752
15,8,6,"[1.467999905347824, 1.2498798370361328, 1.2757126092910767, 1.505260944366455, 1.498706966638565, 1.2775671482086182]",13,"[0.5555555555555556, 0.9047619047619048, 0.8809523809523809, 0.29365079365079366, 0.2619047619047619, 0.8809523809523809]","[0.573049645390071, 0.8709219858156029, 0.8884160756501182, 0.7111111111111111, 0.7115839243498818, 0.8888888888888888]",0.6296296296296297,0.7739952718676122,0.8047281323877069,0.37451601028442383
16,7,10,"[1.2709278762340546, 1.2498316764831543, 1.2588569521903992, 1.493942141532898, 1.2592954337596893, 1.26675146818161, 1.2671329975128174, 1.4885453581809998, 1.2648813426494598, 1.4825883507728577]",10,"[0.8809523809523809, 0.9365079365079365, 0.9047619047619048, 0.35714285714285715, 0.7698412698412699, 0.8412698412698413, 0.8571428571428571, 0.31746031746031744, 0.8492063492063492, 0.3968253968253968]","[0.8704491725768322, 0.9030732860520094, 0.8699763593380615, 0.7021276595744681, 0.8869976359338061, 0.881323877068558, 0.885579196217494, 0.7035460992907802, 0.8865248226950354, 0.6879432624113475]",0.711111111111111,0.8277541371158392,0.8666666666666667,0.13262009620666504
17,9,7,"[1.4971186518669128, 1.520593374967575, 1.239583283662796, 1.5510641932487488, 1.2375904619693756, 1.2507659494876862, 1.2458974421024323]",12,"[0.2777777777777778, 0.21428571428571427, 0.9841269841269841, 0.20634920634920634, 0.9047619047619048, 0.8809523809523809, 0.9285714285714286]","[0.7059101654846336, 0.8018912529550828, 0.9153664302600473, 0.8085106382978723, 0.9087470449172577, 0.9210401891252955, 0.9205673758865248]",0.6281179138321996,0.8545761567038163,0.9026004728132387,0.21909189224243164
18,7,6,"[1.501403659582138, 1.2847301065921783, 1.2512938976287842, 1.530445635318756, 1.5354079604148865, 1.5286966264247894]",13,"[0.40476190476190477, 0.8571428571428571, 0.9365079365079365, 0.1349206349206349, 0.1111111111111111, 0.1349206349206349]","[0.5976359338061465, 0.8312056737588652, 0.9418439716312057, 0.8543735224586289, 0.8434988179669031, 0.858628841607565]",0.42989417989417994,0.8211977935382192,0.8529550827423168,0.0912930965423584
19,10,9,"[1.2818968296051025, 1.2429786324501038, 1.2453509867191315, 1.2736052572727203, 1.2693489789962769, 1.2358373999595642, 1.2703309953212738, 1.4984541535377502, 1.2409636974334717]",14,"[0.8571428571428571, 0.9523809523809523, 0.8650793650793651, 0.8968253968253969, 0.8888888888888888, 0.9285714285714286, 0.8888888888888888, 0.23015873015873015, 0.9206349206349206]","[0.833096926713948, 0.9163120567375886, 0.8992907801418439, 0.9167848699763593, 0.9186761229314421, 0.9059101654846335, 0.9120567375886525, 0.7635933806146572, 0.8992907801418439]",0.8253968253968256,0.8850013133701077,0.9068557919621749,0.15082478523254395
20,9,8,"[1.2323708534240723, 1.242874264717102, 1.5547338426113129, 1.2290357947349548, 1.5238594114780426, 1.2171338200569153, 1.2553460597991943, 1.227510154247284]",15,"[0.8968253968253969, 0.9444444444444444, 0.15079365079365079, 0.9047619047619048, 0.15079365079365079, 0.9365079365079365, 0.9126984126984127, 0.9920634920634921]","[0.9380614657210402, 0.9408983451536643, 0.8605200945626478, 0.9352245862884161, 0.8359338061465721, 0.9347517730496454, 0.9456264775413712, 0.9342789598108747]",0.7361111111111112,0.915661938534279,0.9328605200945627,0.1212148666381836
