round,client_req,new_updates,avg_loss,queue_size,client_train_acc,client_test_acc,client_train_acc_avg,client_test_acc_avg,accuracy_score,aggregator_time
83,10,10,"[0.7081927508115768, 0.6852499544620514, 0.6905360370874405, 0.7087364047765732, 0.6976756751537323, 0.6886145621538162, 0.6716042011976242, 0.6825804710388184, 0.6980497092008591, 0.7010293155908585]",9,"[1.0, 1.0, 0.9920634920634921, 1.0, 0.9920634920634921, 0.9920634920634921, 1.0, 1.0, 0.9920634920634921, 0.9841269841269841]","[0.9985815602836879, 0.9976359338061466, 0.9981087470449173, 0.9985815602836879, 0.9976359338061466, 0.9985815602836879, 0.9985815602836879, 0.9976359338061466, 0.9985815602836879, 0.9981087470449173]",0.9952380952380953,0.9982033096926713,0.9976359338061466,0.012421846389770508
84,10,11,"[0.7158618569374084, 0.6975306570529938, 0.7247587740421295, 0.7046079933643341, 0.6940567195415497, 0.6778733879327774, 0.7029963433742523, 0.7052688896656036, 0.6828347742557526, 0.6859232634305954, 0.6812740713357925]",8,"[0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 1.0, 0.9920634920634921, 1.0, 0.9920634920634921, 1.0, 1.0, 0.9920634920634921, 1.0]","[0.9981087470449173, 0.9985815602836879, 0.9976359338061466, 0.9985815602836879, 0.9976359338061466, 0.9976359338061466, 0.9985815602836879, 0.9985815602836879, 0.9976359338061466, 0.9976359338061466, 0.9981087470449173]",0.9956709956709957,0.9980657640232107,0.9976359338061466,0.012943029403686523
85,10,10,"[0.7178813368082047, 0.6812582314014435, 0.6839618384838104, 0.6756992638111115, 0.679611086845398, 0.686106488108635, 0.683316096663475, 0.6695543378591537, 0.6849517375230789, 0.7126861959695816]",8,"[0.9920634920634921, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9920634920634921, 0.9920634920634921]","[0.9985815602836879, 0.9976359338061466, 0.9976359338061466, 0.9976359338061466, 0.9976359338061466, 0.9976359338061466, 0.9976359338061466, 0.9985815602836879, 0.9981087470449173, 0.9976359338061466]",0.9976190476190476,0.997872340425532,0.9976359338061466,0.012000083923339844
86,9,8,"[0.7259540855884552, 0.678951770067215, 0.6796402633190155, 0.6763861626386642, 0.6791509985923767, 0.6817765682935715, 0.6723882257938385, 0.6737672835588455]",9,"[0.9920634920634921, 1.0, 1.0, 1.0, 0.9920634920634921, 0.9920634920634921, 1.0, 1.0]","[0.9985815602836879, 0.9971631205673759, 0.9976359338061466, 0.9981087470449173, 0.9976359338061466, 0.9981087470449173, 0.9976359338061466, 0.9985815602836879]",0.9970238095238095,0.9979314420803783,0.9976359338061466,0.010734081268310547
87,9,7,"[0.6883731931447983, 0.6805169582366943, 0.6761510670185089, 0.6784222275018692, 0.6827129423618317, 0.6868036240339279, 0.6846430152654648]",11,"[0.9920634920634921, 0.9920634920634921, 1.0, 1.0, 0.9920634920634921, 1.0, 1.0]","[0.9976359338061466, 0.9985815602836879, 0.9971631205673759, 0.9985815602836879, 0.9976359338061466, 0.9976359338061466, 0.9976359338061466]",0.9965986394557823,0.9978385680513341,0.9976359338061466,0.010332822799682617
88,10,10,"[0.6810120791196823, 0.6754418909549713, 0.6940755695104599, 0.6875791996717453, 0.6758812218904495, 0.6699398308992386, 0.6640555262565613, 0.6708052307367325, 0.682818129658699, 0.6755648553371429]",11,"[0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 1.0, 0.9920634920634921, 1.0, 1.0, 1.0, 0.9920634920634921]","[0.9985815602836879, 0.9985815602836879, 0.9976359338061466, 0.9976359338061466, 0.9976359338061466, 0.9976359338061466, 0.9985815602836879, 0.9976359338061466, 0.9976359338061466, 0.9981087470449173]",0.9952380952380953,0.9979669030732861,0.9976359338061466,0.012095928192138672
89,10,8,"[0.6687065958976746, 0.66355000436306, 0.6632511615753174, 0.6856872290372849, 0.661389023065567, 0.6754407584667206, 0.6754889041185379, 0.6832617819309235]",13,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9920634920634921, 0.9920634920634921]","[0.9976359338061466, 0.9976359338061466, 0.9976359338061466, 0.9976359338061466, 0.9985815602836879, 0.9976359338061466, 0.9976359338061466, 0.9976359338061466]",0.998015873015873,0.9977541371158394,0.9976359338061466,0.010946035385131836
90,7,7,"[0.7034652531147003, 0.6652844250202179, 0.6698683947324753, 0.6664473563432693, 0.6969489753246307, 0.6628057360649109, 0.6723773628473282]",13,"[0.9920634920634921, 1.0, 0.9920634920634921, 1.0, 0.9920634920634921, 1.0, 1.0]","[0.9981087470449173, 0.9976359338061466, 0.9985815602836879, 0.9976359338061466, 0.9981087470449173, 0.9976359338061466, 0.9981087470449173]",0.9965986394557823,0.9979736575481256,0.9976359338061466,0.010495901107788086
91,9,10,"[0.6829944849014282, 0.6791240572929382, 0.6758492290973663, 0.6720970273017883, 0.6834153383970261, 0.6674380004405975, 0.677207887172699, 0.6752341240644455, 0.6856414079666138, 0.6592495292425156]",12,"[1.0, 0.9920634920634921, 1.0, 0.9920634920634921, 1.0, 1.0, 0.9920634920634921, 1.0, 0.9920634920634921, 1.0]","[0.9976359338061466, 0.9976359338061466, 0.9976359338061466, 0.9981087470449173, 0.9985815602836879, 0.9985815602836879, 0.9976359338061466, 0.9981087470449173, 0.9976359338061466, 0.9976359338061466]",0.9968253968253968,0.9979196217494088,0.9981087470449173,0.011909246444702148
92,7,6,"[0.6897773742675781, 0.6891070008277893, 0.6746759563684464, 0.6659779399633408, 0.6657432168722153, 0.6659574508666992]",13,"[0.9920634920634921, 1.0, 0.9920634920634921, 1.0, 1.0, 0.9920634920634921]","[0.9981087470449173, 0.9985815602836879, 0.9976359338061466, 0.9976359338061466, 0.9981087470449173, 0.9981087470449173]",0.996031746031746,0.9980299448384553,0.9976359338061466,0.010099172592163086
93,9,7,"[0.6712072938680649, 0.6632006168365479, 0.669751763343811, 0.661280021071434, 0.6650831252336502, 0.6713977605104446, 0.6679616719484329]",15,"[1.0, 1.0, 1.0, 1.0, 0.9920634920634921, 1.0, 1.0]","[0.9976359338061466, 0.9976359338061466, 0.9985815602836879, 0.9976359338061466, 0.9976359338061466, 0.9985815602836879, 0.9976359338061466]",0.9988662131519275,0.9979061127997298,0.9981087470449173,0.010348081588745117
94,8,11,"[0.679306298494339, 0.6815539002418518, 0.6812975853681564, 0.6651407927274704, 0.6642303168773651, 0.6888585388660431, 0.6640514135360718, 0.6621058881282806, 0.6608937531709671, 0.6714489161968231, 0.6966598182916641]",12,"[1.0, 0.9920634920634921, 1.0, 0.9920634920634921, 1.0, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 1.0, 1.0, 0.9920634920634921]","[0.9976359338061466, 0.9976359338061466, 0.9976359338061466, 0.9981087470449173, 0.9981087470449173, 0.9981087470449173, 0.9981087470449173, 0.9976359338061466, 0.9976359338061466, 0.9976359338061466, 0.9976359338061466]",0.9956709956709957,0.9978078658929722,0.9981087470449173,0.01240396499633789
95,8,9,"[0.6893741190433502, 0.6773419231176376, 0.657740592956543, 0.6570292264223099, 0.6718614399433136, 0.6631060540676117, 0.6953088045120239, 0.6674857586622238, 0.6638711094856262]",11,"[0.9920634920634921, 0.9841269841269841, 1.0, 1.0, 1.0, 1.0, 0.9920634920634921, 1.0, 0.9920634920634921]","[0.9976359338061466, 0.9976359338061466, 0.9976359338061466, 0.9976359338061466, 0.9981087470449173, 0.9976359338061466, 0.9976359338061466, 0.9981087470449173, 0.9981087470449173]",0.9955908289241623,0.9977935382190702,0.9981087470449173,0.011276006698608398
96,9,10,"[0.6805594712495804, 0.664686769247055, 0.6912015676498413, 0.6856925040483475, 0.6650903671979904, 0.6880225241184235, 0.6632253974676132, 0.6580627709627151, 0.6933621466159821, 0.6653242260217667]",10,"[0.9841269841269841, 1.0, 0.9920634920634921, 0.9920634920634921, 1.0, 0.9920634920634921, 1.0, 1.0, 0.9920634920634921, 1.0]","[0.9985815602836879, 0.9976359338061466, 0.9981087470449173, 0.9981087470449173, 0.9981087470449173, 0.9981087470449173, 0.9976359338061466, 0.9976359338061466, 0.9976359338061466, 0.9981087470449173]",0.9952380952380953,0.997966903073286,0.9981087470449173,0.011995792388916016
97,8,6,"[0.666910707950592, 0.6906620115041733, 0.669836238026619, 0.6625676453113556, 0.6616599410772324, 0.6922064274549484]",12,"[1.0, 1.0, 0.9920634920634921, 1.0, 0.9920634920634921, 0.9920634920634921]","[0.9976359338061466, 0.9985815602836879, 0.9981087470449173, 0.9981087470449173, 0.9981087470449173, 0.9981087470449173]",0.996031746031746,0.9981087470449171,0.9981087470449173,0.009771108627319336
98,9,9,"[0.6567725241184235, 0.7010193169116974, 0.6614108085632324, 0.6611561626195908, 0.6583444029092789, 0.6838083118200302, 0.6598743200302124, 0.6650604456663132, 0.680372804403305]",12,"[1.0, 0.9841269841269841, 1.0, 1.0, 0.9920634920634921, 0.9920634920634921, 1.0, 1.0, 0.9841269841269841]","[0.9981087470449173, 0.9981087470449173, 0.9976359338061466, 0.9981087470449173, 0.9981087470449173, 0.9976359338061466, 0.9976359338061466, 0.9981087470449173, 0.9976359338061466]",0.9947089947089948,0.9978986078276857,0.9981087470449173,0.011184215545654297
99,8,11,"[0.662211999297142, 0.6799741685390472, 0.6701460629701614, 0.6507617086172104, 0.660199835896492, 0.668213501572609, 0.6537446975708008, 0.6611265987157822, 0.6868812888860703, 0.662952721118927, 0.6557164788246155]",9,"[1.0, 1.0, 0.9841269841269841, 1.0, 0.9920634920634921, 0.9920634920634921, 1.0, 1.0, 0.9920634920634921, 0.9920634920634921, 1.0]","[0.9976359338061466, 0.9981087470449173, 0.9981087470449173, 0.9981087470449173, 0.9976359338061466, 0.9976359338061466, 0.9981087470449173, 0.9976359338061466, 0.9981087470449173, 0.9981087470449173, 0.9981087470449173]",0.9956709956709957,0.9979368149580915,0.9981087470449173,0.012471914291381836
