round,client_req,new_updates,avg_loss,queue_size,client_train_acc,client_test_acc,accuracy_score
10,9,12,"[10.997187209129333, 10.78056366443634, 10.850868892669677, 10.948284029960632, 10.731881546974183, 11.58481740951538, 11.168578910827637, 10.934680438041687, 11.108232188224793, 11.08610200881958, 11.56713626384735, 11.022217059135437]",2,"[0.4866666666666667, 0.6383333333333333, 0.5733333333333334, 0.5583333333333333, 0.67, 0.57, 0.61, 0.6283333333333333, 0.5933333333333334, 0.615, 0.5416666666666666, 0.5583333333333333]","[0.4323, 0.5791, 0.5796, 0.5092, 0.6021, 0.531, 0.5473, 0.5702, 0.5539, 0.5636, 0.512, 0.5295]",0.198
11,10,9,"[11.386204886436463, 11.016581892967224, 10.917999005317688, 10.86624186038971, 10.81800742149353, 11.0417711019516, 10.863477611541748, 10.758342814445495, 11.18870153427124]",3,"[0.4033333333333333, 0.6383333333333333, 0.68, 0.6233333333333333, 0.6433333333333333, 0.6516666666666666, 0.6916666666666667, 0.6583333333333333, 0.5516666666666666]","[0.368, 0.6104, 0.6265, 0.5886, 0.5994, 0.5887, 0.6248, 0.6274, 0.5325]",0.1988
12,10,10,"[11.148184108734132, 10.926525950431824, 10.80974748134613, 10.921351003646851, 10.885369277000427, 11.115609526634216, 11.02428104877472, 10.935448360443115, 10.772067975997924, 11.033693552017212]",3,"[0.5133333333333333, 0.5566666666666666, 0.605, 0.69, 0.695, 0.42333333333333334, 0.5166666666666667, 0.6333333333333333, 0.72, 0.6266666666666667]","[0.4848, 0.5037, 0.5412, 0.621, 0.6259, 0.4366, 0.4842, 0.5903, 0.6423, 0.5764]",0.1225
13,10,10,"[10.806397104263306, 10.920464873313904, 10.910638236999512, 10.668883681297302, 10.799310851097108, 10.894839596748351, 10.746397638320923, 10.796220135688781, 10.804658889770508, 10.656555819511414]",3,"[0.5483333333333333, 0.645, 0.51, 0.6233333333333333, 0.645, 0.505, 0.5916666666666667, 0.5983333333333334, 0.5833333333333334, 0.61]","[0.4611, 0.5927, 0.4867, 0.5536, 0.5764, 0.4633, 0.534, 0.5758, 0.4996, 0.5604]",0.2043
14,10,8,"[10.816286945343018, 10.742123699188232, 11.124236917495727, 10.88097586631775, 11.028056359291076, 11.014441585540771, 10.721011233329772, 10.966060495376587]",5,"[0.6416666666666667, 0.6383333333333333, 0.6466666666666666, 0.635, 0.6366666666666667, 0.6333333333333333, 0.64, 0.54]","[0.6186, 0.5693, 0.5757, 0.569, 0.5955, 0.5634, 0.585, 0.5408]",0.1135
15,10,9,"[10.752245569229126, 10.700792074203491, 10.80763761997223, 10.802579855918884, 10.868381786346436, 10.858978724479675, 10.809523224830627, 11.476089668273925, 11.95283133983612]",6,"[0.6633333333333333, 0.6333333333333333, 0.6083333333333333, 0.635, 0.58, 0.615, 0.6433333333333333, 0.6416666666666667, 0.6116666666666667]","[0.6272, 0.585, 0.5644, 0.5738, 0.5551, 0.5463, 0.5828, 0.5905, 0.5912]",0.0892
16,9,7,"[10.631993818283082, 13.058816123008729, 12.645947170257568, 13.058600091934204, 12.858677053451538, 12.933516883850098, 13.143652105331421]",8,"[0.5983333333333334, 0.07333333333333333, 0.10666666666666667, 0.13, 0.09333333333333334, 0.11333333333333333, 0.11666666666666667]","[0.5437, 0.0893, 0.0924, 0.1068, 0.0962, 0.098, 0.1285]",0.0892
17,8,11,"[10.8776025056839, 10.911896133422852, 10.769803833961486, 10.8247887134552, 13.055768299102784, 12.537432503700256, 11.318231749534608, 12.021020793914795, 11.683089590072631, 11.681742835044862, 11.51303174495697]",5,"[0.6383333333333333, 0.6183333333333333, 0.5183333333333333, 0.645, 0.13166666666666665, 0.18833333333333332, 0.34833333333333333, 0.41833333333333333, 0.535, 0.37666666666666665, 0.4483333333333333]","[0.5608, 0.5764, 0.4949, 0.5579, 0.1016, 0.1686, 0.3046, 0.3701, 0.51, 0.3956, 0.4182]",0.1799
18,10,8,"[12.92961344718933, 11.406653213500977, 11.40470998287201, 11.779809498786927, 11.126089382171632, 11.209288191795348, 11.451033854484558, 11.20817711353302]",7,"[0.15, 0.47833333333333333, 0.49166666666666664, 0.42833333333333334, 0.65, 0.5566666666666666, 0.4766666666666667, 0.505]","[0.1213, 0.4339, 0.405, 0.4205, 0.58, 0.4785, 0.439, 0.4521]",0.1135
19,8,10,"[11.136547780036926, 11.610170841217041, 11.312463808059693, 11.171233105659486, 11.040163230895995, 11.273784828186034, 11.048420000076295, 11.228822708129883, 11.142115259170533, 11.410935544967652]",5,"[0.6016666666666667, 0.45666666666666667, 0.5766666666666667, 0.5166666666666667, 0.5916666666666667, 0.45666666666666667, 0.45666666666666667, 0.425, 0.465, 0.42833333333333334]","[0.5469, 0.441, 0.5192, 0.4833, 0.5484, 0.4365, 0.4098, 0.4029, 0.4183, 0.3977]",0.117
20,10,8,"[11.92265145778656, 11.162728834152222, 11.176358270645142, 11.328218150138856, 11.317274641990661, 11.085616755485535, 11.32893464565277, 11.042154717445374]",7,"[0.37333333333333335, 0.6633333333333333, 0.555, 0.535, 0.48833333333333334, 0.6, 0.5783333333333334, 0.51]","[0.3645, 0.5912, 0.5281, 0.5182, 0.4461, 0.5213, 0.5402, 0.479]",0.1969
21,10,10,"[11.870641279220582, 11.65485954284668, 11.043193221092224, 11.024485802650451, 10.768405652046203, 10.911578893661499, 10.992035841941833, 10.977622199058533, 10.788307499885558, 10.755179643630981]",7,"[0.355, 0.5983333333333334, 0.605, 0.5833333333333334, 0.56, 0.6466666666666666, 0.5383333333333333, 0.6183333333333333, 0.6533333333333333, 0.595]","[0.317, 0.5572, 0.5696, 0.5095, 0.5063, 0.5901, 0.4912, 0.5845, 0.5599, 0.5612]",0.1209
22,9,11,"[10.955462431907653, 11.05949580669403, 11.032310605049133, 10.873142123222351, 10.949959659576416, 11.150862407684325, 10.959613156318664, 11.385142159461974, 10.900339722633362, 10.863771438598633, 10.83388261795044]",5,"[0.6866666666666666, 0.5683333333333334, 0.605, 0.57, 0.6666666666666666, 0.5533333333333333, 0.6783333333333333, 0.6233333333333333, 0.635, 0.675, 0.6166666666666667]","[0.6415, 0.524, 0.5854, 0.536, 0.5964, 0.5352, 0.6309, 0.6127, 0.6, 0.5811, 0.5433]",0.0987
23,10,9,"[11.170338249206543, 10.95819673538208, 10.972357273101807, 10.814604997634888, 10.77898986339569, 10.833423447608947, 10.9662348985672, 10.916754937171936, 10.796722364425658]",6,"[0.5466666666666666, 0.6066666666666667, 0.535, 0.59, 0.6083333333333333, 0.59, 0.6533333333333333, 0.5766666666666667, 0.5766666666666667]","[0.5021, 0.5506, 0.4865, 0.544, 0.5402, 0.5142, 0.6305, 0.5513, 0.5331]",0.1697
24,7,6,"[11.220672488212585, 10.92412714958191, 10.75254421234131, 10.90687644481659, 10.905471897125244, 10.685065150260925]",7,"[0.505, 0.525, 0.6066666666666667, 0.68, 0.72, 0.5733333333333334]","[0.4913, 0.4736, 0.5245, 0.6118, 0.6312, 0.4713]",0.1205
25,10,10,"[11.066836929321289, 10.837378525733948, 10.879712700843811, 10.829750680923462, 10.924932885169984, 10.694967699050903, 10.963582849502563, 10.717933297157288, 10.990462827682496, 10.93108377456665]",7,"[0.6566666666666666, 0.5383333333333333, 0.5933333333333334, 0.64, 0.6433333333333333, 0.6483333333333333, 0.425, 0.7116666666666667, 0.475, 0.565]","[0.6078, 0.5108, 0.5212, 0.5814, 0.581, 0.6061, 0.4133, 0.6231, 0.4336, 0.5373]",0.1973
26,10,10,"[10.825224900245667, 10.93275887966156, 10.864918494224549, 10.931348276138305, 11.218560671806335, 11.038423633575439, 10.87615988254547, 10.838536357879638, 10.864409065246582, 11.052358317375184]",7,"[0.615, 0.4816666666666667, 0.46166666666666667, 0.5933333333333334, 0.5216666666666666, 0.5516666666666666, 0.5216666666666666, 0.5983333333333334, 0.5266666666666666, 0.5366666666666666]","[0.5599, 0.4714, 0.4529, 0.5885, 0.4894, 0.5376, 0.539, 0.5425, 0.4905, 0.5212]",0.2521
27,10,12,"[10.773852562904358, 10.902351975440979, 10.842518877983093, 10.843483829498291, 10.811087107658386, 10.975008964538574, 10.840022683143616, 10.920427894592285, 11.083911919593811, 11.1965580701828, 10.806369304656982, 10.909836173057556]",5,"[0.605, 0.4533333333333333, 0.58, 0.645, 0.655, 0.5733333333333334, 0.5966666666666667, 0.5116666666666667, 0.6233333333333333, 0.66, 0.5866666666666667, 0.58]","[0.5658, 0.3924, 0.5286, 0.578, 0.5642, 0.5255, 0.5553, 0.4888, 0.5811, 0.5784, 0.5733, 0.5359]",0.1962
28,10,9,"[10.721321558952331, 10.88995053768158, 11.028724575042725, 10.745191264152528, 10.803357601165771, 11.075883364677429, 11.072239923477174, 10.638920116424561, 10.863246512413024]",6,"[0.6166666666666667, 0.6116666666666667, 0.6616666666666666, 0.5833333333333334, 0.495, 0.635, 0.52, 0.5766666666666667, 0.5666666666666667]","[0.5253, 0.55, 0.5893, 0.552, 0.4487, 0.601, 0.4986, 0.5111, 0.4969]",0.1841
29,10,12,"[11.007740211486816, 10.901496505737304, 10.869363498687743, 10.913789701461791, 10.865942025184632, 11.043987679481507, 11.007782602310181, 10.917510366439819, 11.001159691810608, 10.993221521377563, 11.00158245563507, 10.92852201461792]",4,"[0.53, 0.5533333333333333, 0.59, 0.615, 0.61, 0.59, 0.585, 0.6233333333333333, 0.5983333333333334, 0.7233333333333334, 0.62, 0.5116666666666667]","[0.4838, 0.5325, 0.5535, 0.5789, 0.5569, 0.5299, 0.5418, 0.5789, 0.5702, 0.6288, 0.5523, 0.4735]",0.148
30,10,11,"[10.680141973495484, 10.779991173744202, 10.759100604057313, 10.7336261510849, 11.137466931343079, 10.940703988075256, 10.871581196784973, 10.827562737464905, 10.806564712524414, 11.02014582157135, 10.70414035320282]",3,"[0.605, 0.56, 0.5833333333333334, 0.635, 0.6016666666666667, 0.5883333333333334, 0.5483333333333333, 0.595, 0.6066666666666667, 0.6083333333333333, 0.5866666666666667]","[0.5692, 0.4688, 0.5297, 0.5612, 0.5579, 0.5417, 0.5, 0.5302, 0.5534, 0.5609, 0.5463]",0.0892
31,10,10,"[11.123901677131652, 10.711545252799988, 11.698887348175049, 11.064413475990296, 11.260593438148499, 11.54822018146515, 11.319292306900024, 11.239428663253785, 11.147759819030762, 11.21694655418396]",3,"[0.39666666666666667, 0.64, 0.5166666666666667, 0.5, 0.5066666666666667, 0.43666666666666665, 0.54, 0.46, 0.5566666666666666, 0.5433333333333333]","[0.3721, 0.5692, 0.4334, 0.4499, 0.4679, 0.3964, 0.5004, 0.4349, 0.4894, 0.4849]",0.1025
32,9,6,"[11.140755009651183, 11.983629751205445, 11.83578622341156, 11.18192183971405, 11.620265698432922, 11.410303115844727]",6,"[0.5, 0.465, 0.38333333333333336, 0.5183333333333333, 0.46166666666666667, 0.5766666666666667]","[0.4632, 0.4681, 0.3891, 0.4989, 0.4047, 0.514]",0.1814
33,9,11,"[10.965612006187438, 11.285196781158447, 11.096201062202454, 11.028313779830933, 11.03848819732666, 10.957412695884704, 10.760999298095703, 11.09706871509552, 10.878998351097106, 11.089499950408936, 11.176623916625976]",4,"[0.6, 0.34833333333333333, 0.53, 0.585, 0.42333333333333334, 0.5216666666666666, 0.5883333333333334, 0.5433333333333333, 0.515, 0.465, 0.42333333333333334]","[0.5537, 0.3167, 0.5041, 0.5511, 0.3873, 0.5099, 0.5081, 0.5003, 0.5071, 0.4387, 0.4401]",0.1135
34,9,6,"[11.388118171691895, 10.911089777946472, 10.957098865509034, 11.15851662158966, 11.049984431266784, 11.418897724151611]",7,"[0.37333333333333335, 0.565, 0.6433333333333333, 0.5333333333333333, 0.5916666666666667, 0.455]","[0.3126, 0.5292, 0.5913, 0.5096, 0.5394, 0.4348]",0.1759
35,9,12,"[11.090967679023743, 11.035001087188721, 10.900556612014771, 11.225816249847412, 11.324889945983887, 11.06422290802002, 11.089467167854309, 11.094075036048888, 10.862966108322144, 11.320414662361145, 10.909054493904113, 10.896374320983886]",4,"[0.5066666666666667, 0.545, 0.5316666666666666, 0.5, 0.5916666666666667, 0.5133333333333333, 0.6216666666666667, 0.5666666666666667, 0.5533333333333333, 0.555, 0.56, 0.6166666666666667]","[0.4778, 0.5212, 0.533, 0.4798, 0.5567, 0.4896, 0.6019, 0.5118, 0.5258, 0.5109, 0.515, 0.5412]",0.2099
36,10,9,"[12.239981102943421, 11.184735560417176, 11.077227592468262, 10.897660541534425, 10.937461853027344, 10.732896256446839, 10.848422837257385, 10.89558720588684, 10.803049087524414]",5,"[0.575, 0.405, 0.6016666666666667, 0.635, 0.5233333333333333, 0.525, 0.5266666666666666, 0.5233333333333333, 0.47833333333333333]","[0.5211, 0.4022, 0.5901, 0.5804, 0.5019, 0.5046, 0.4986, 0.5175, 0.4721]",0.2712
37,9,11,"[10.844803643226623, 10.808477926254273, 10.806933712959289, 10.762996339797974, 11.377835583686828, 11.04939317703247, 10.818454217910766, 10.965429306030273, 11.041842699050903, 10.822194790840149, 11.034145069122314]",3,"[0.6083333333333333, 0.56, 0.5833333333333334, 0.59, 0.525, 0.6016666666666667, 0.5366666666666666, 0.5383333333333333, 0.59, 0.5783333333333334, 0.62]","[0.5546, 0.5235, 0.5173, 0.5434, 0.5052, 0.5717, 0.5023, 0.5111, 0.5579, 0.5328, 0.5468]",0.1239
38,10,8,"[10.784273600578308, 10.936716389656066, 11.12380666732788, 10.842930483818055, 10.849735999107361, 10.623052549362182, 10.93609619140625, 11.026426076889038]",5,"[0.6016666666666667, 0.45, 0.565, 0.6183333333333333, 0.62, 0.6166666666666667, 0.5683333333333334, 0.58]","[0.5384, 0.4499, 0.501, 0.5605, 0.5552, 0.5738, 0.4909, 0.5452]",0.1862
39,9,7,"[10.996561360359191, 10.853003644943238, 10.896895098686219, 10.943455338478088, 10.927791595458984, 11.19996874332428, 10.742431044578552]",7,"[0.5333333333333333, 0.4483333333333333, 0.5583333333333333, 0.58, 0.505, 0.4816666666666667, 0.6183333333333333]","[0.4734, 0.4379, 0.5384, 0.5478, 0.4502, 0.4565, 0.561]",0.1135
40,9,11,"[10.925602340698243, 11.126891016960144, 11.451409411430358, 11.044772219657897, 12.060916972160339, 12.112898421287536, 11.645063281059265, 12.396626591682434, 11.807916378974914, 11.948462533950806, 11.785824179649353]",5,"[0.5116666666666667, 0.5466666666666666, 0.485, 0.6, 0.315, 0.30333333333333334, 0.405, 0.27, 0.44666666666666666, 0.3516666666666667, 0.43]","[0.508, 0.5152, 0.4526, 0.5618, 0.3099, 0.2727, 0.372, 0.2582, 0.4136, 0.3316, 0.3906]",0.1157
41,10,10,"[11.194589304924012, 10.867800760269166, 11.013360214233398, 11.423035764694214, 11.46424674987793, 11.242983317375183, 11.240653800964356, 11.299189567565918, 11.004416346549988, 10.939550137519836]",5,"[0.5866666666666667, 0.49333333333333335, 0.525, 0.45166666666666666, 0.58, 0.45166666666666666, 0.4533333333333333, 0.45666666666666667, 0.5516666666666666, 0.49833333333333335]","[0.5951, 0.4774, 0.4855, 0.4329, 0.5238, 0.4177, 0.4281, 0.4353, 0.4982, 0.4468]",0.1575
42,8,10,"[11.75751497745514, 11.934582543373107, 10.948376107215882, 11.07104754447937, 11.478525733947754, 10.963757491111755, 11.33930857181549, 11.065106511116028, 11.750356197357178, 10.76731297969818]",3,"[0.34833333333333333, 0.3016666666666667, 0.5516666666666666, 0.45, 0.4816666666666667, 0.55, 0.61, 0.4766666666666667, 0.43666666666666665, 0.6166666666666667]","[0.3203, 0.3042, 0.5109, 0.42, 0.464, 0.5326, 0.5589, 0.4525, 0.4326, 0.5601]",0.1246
43,10,9,"[11.14068624973297, 10.811581444740295, 10.666361713409424, 10.98919107913971, 11.289129710197448, 10.79188313484192, 11.060311889648437, 10.930104184150697, 10.874870491027831]",4,"[0.6133333333333333, 0.5166666666666667, 0.6433333333333333, 0.555, 0.5733333333333334, 0.645, 0.6166666666666667, 0.5, 0.5066666666666667]","[0.575, 0.4498, 0.5687, 0.5059, 0.5484, 0.5639, 0.5745, 0.4786, 0.4862]",0.2104
44,10,12,"[11.088639283180237, 11.29631004333496, 11.361895871162414, 10.836121535301208, 10.793105983734131, 10.742306280136109, 10.952823948860168, 10.921168637275695, 10.786430954933167, 10.792395663261413, 10.838628482818603, 10.793288159370423]",2,"[0.465, 0.435, 0.5, 0.5883333333333334, 0.5516666666666666, 0.57, 0.605, 0.475, 0.5733333333333334, 0.525, 0.5616666666666666, 0.5916666666666667]","[0.4515, 0.4192, 0.4851, 0.5463, 0.4781, 0.4789, 0.5368, 0.4666, 0.5335, 0.4766, 0.5356, 0.5227]",0.3743
45,10,7,"[11.021001267433167, 11.036235308647155, 10.836526370048523, 10.610752868652344, 11.042352294921875, 10.78467366695404, 10.837213158607483]",5,"[0.5366666666666666, 0.47333333333333333, 0.5633333333333334, 0.64, 0.5, 0.53, 0.5833333333333334]","[0.5246, 0.4486, 0.5521, 0.5579, 0.4598, 0.5003, 0.5573]",0.1134
46,8,7,"[10.748643612861633, 10.984236645698548, 11.148092651367188, 10.861262202262878, 11.097093677520752, 10.926987242698669, 10.752535676956176]",6,"[0.63, 0.5466666666666666, 0.5316666666666666, 0.6566666666666666, 0.4866666666666667, 0.5216666666666666, 0.5233333333333333]","[0.5521, 0.4901, 0.4887, 0.5709, 0.4756, 0.4765, 0.5089]",0.1147
47,10,7,"[10.63869092464447, 10.893510174751281, 10.935465312004089, 10.981967043876647, 11.191695380210877, 10.743932509422303, 10.841370368003846]",9,"[0.5416666666666666, 0.44666666666666666, 0.565, 0.4716666666666667, 0.5133333333333333, 0.44, 0.595]","[0.4869, 0.4471, 0.533, 0.442, 0.4748, 0.4222, 0.5846]",0.2003
48,9,10,"[10.80763487815857, 10.703168654441834, 10.754582571983338, 10.860875606536865, 11.003419137001037, 11.011350202560426, 10.885470700263976, 11.096467137336731, 10.664002108573914, 10.90171434879303]",8,"[0.62, 0.6266666666666667, 0.6, 0.595, 0.5816666666666667, 0.45166666666666666, 0.5983333333333334, 0.5933333333333334, 0.5883333333333334, 0.5916666666666667]","[0.564, 0.595, 0.5541, 0.5524, 0.5355, 0.4499, 0.5238, 0.5339, 0.4963, 0.5351]",0.1744
49,9,13,"[10.839732813835145, 11.056319046020509, 11.05703432559967, 10.922814917564391, 10.83861584663391, 10.800214171409607, 10.969046664237975, 10.929641127586365, 10.608562517166138, 10.82824878692627, 10.883837795257568, 10.79977650642395, 10.896433925628662]",4,"[0.51, 0.525, 0.565, 0.505, 0.48, 0.59, 0.5333333333333333, 0.6416666666666667, 0.5966666666666667, 0.5883333333333334, 0.58, 0.5866666666666667, 0.49333333333333335]","[0.4698, 0.4816, 0.5413, 0.4566, 0.4681, 0.5006, 0.4832, 0.5829, 0.5223, 0.5264, 0.5459, 0.5613, 0.4747]",0.1921
50,8,5,"[10.935117888450623, 10.98065984249115, 10.955666422843933, 10.864496111869812, 10.805036258697509]",7,"[0.5066666666666667, 0.5583333333333333, 0.4716666666666667, 0.47833333333333333, 0.525]","[0.4613, 0.5041, 0.4515, 0.4762, 0.4812]",0.256
51,9,10,"[11.000282478332519, 10.89247543811798, 10.926646375656128, 10.994987106323242, 10.82413682937622, 10.643446040153503, 10.882492971420287, 10.642963624000549, 10.725501322746277, 10.927851510047912]",6,"[0.52, 0.545, 0.57, 0.4033333333333333, 0.5733333333333334, 0.5616666666666666, 0.6266666666666667, 0.5383333333333333, 0.5266666666666666, 0.49666666666666665]","[0.5003, 0.4845, 0.5321, 0.4003, 0.5449, 0.4963, 0.5921, 0.4756, 0.485, 0.4616]",0.1927
52,10,11,"[10.905996656417846, 11.034903931617738, 11.191777110099792, 10.93493070602417, 10.924980306625367, 10.946332955360413, 10.78251130580902, 11.17649302482605, 11.384689593315125, 10.83456871509552, 11.101997184753419]",5,"[0.5583333333333333, 0.5083333333333333, 0.6516666666666666, 0.49333333333333335, 0.5733333333333334, 0.57, 0.52, 0.565, 0.635, 0.575, 0.5383333333333333]","[0.4823, 0.4618, 0.6019, 0.4636, 0.5264, 0.5346, 0.4736, 0.5748, 0.5585, 0.5267, 0.484]",0.1733
53,9,9,"[10.877005338668823, 10.833149957656861, 10.790685534477234, 10.755490255355834, 10.786213755607605, 10.764915871620179, 10.803920221328735, 10.743140292167663, 10.643338131904603]",5,"[0.5583333333333333, 0.4716666666666667, 0.6033333333333334, 0.5183333333333333, 0.5616666666666666, 0.5033333333333333, 0.585, 0.61, 0.5133333333333333]","[0.4818, 0.4755, 0.5667, 0.4785, 0.5029, 0.4915, 0.5246, 0.5697, 0.4467]",0.3103
54,10,9,"[10.933639645576477, 10.953142261505127, 10.97667953968048, 10.802449893951415, 10.851542210578918, 10.750985884666443, 11.033591079711915, 11.099221444129943, 10.663972163200379]",6,"[0.5116666666666667, 0.5766666666666667, 0.4866666666666667, 0.5, 0.5216666666666666, 0.5616666666666666, 0.63, 0.5166666666666667, 0.5316666666666666]","[0.4823, 0.5236, 0.4804, 0.4858, 0.4791, 0.5177, 0.566, 0.4849, 0.4827]",0.1693
55,10,12,"[10.625456261634827, 11.423152732849122, 10.917137670516968, 10.886412501335144, 11.238841533660889, 11.257740473747253, 10.78663411140442, 11.047461581230163, 10.885357356071472, 11.245109462738037, 11.039452934265137, 11.016636538505555]",4,"[0.56, 0.5916666666666667, 0.61, 0.5483333333333333, 0.55, 0.5333333333333333, 0.495, 0.44, 0.4166666666666667, 0.5966666666666667, 0.525, 0.64]","[0.5122, 0.5376, 0.5589, 0.4955, 0.535, 0.477, 0.475, 0.449, 0.4045, 0.5342, 0.4877, 0.5679]",0.1714
56,7,5,"[10.70999789237976, 10.729525804519653, 10.838689589500428, 10.754446697235107, 10.904077935218812]",6,"[0.5516666666666666, 0.5833333333333334, 0.5883333333333334, 0.595, 0.5466666666666666]","[0.5066, 0.5429, 0.5706, 0.5192, 0.5136]",0.1987
57,10,7,"[10.96888039112091, 10.880073404312133, 11.061056542396546, 10.864370465278625, 10.856089091300964, 11.035767674446106, 11.007780694961548]",9,"[0.6016666666666667, 0.585, 0.5766666666666667, 0.6166666666666667, 0.5916666666666667, 0.5616666666666666, 0.54]","[0.5368, 0.5157, 0.5385, 0.5482, 0.517, 0.5394, 0.5101]",0.1997
58,10,13,"[10.708490562438964, 10.938705444335938, 10.884260606765746, 10.755202460289002, 10.894571447372437, 10.826170468330384, 10.837425446510315, 11.06437029838562, 10.808496594429016, 10.77353231906891, 10.973515439033509, 10.946893525123595, 10.905851531028748]",6,"[0.605, 0.5633333333333334, 0.605, 0.58, 0.51, 0.6166666666666667, 0.625, 0.6333333333333333, 0.515, 0.5816666666666667, 0.5283333333333333, 0.5683333333333334, 0.5616666666666666]","[0.528, 0.5275, 0.5429, 0.5166, 0.4767, 0.527, 0.5607, 0.5898, 0.4537, 0.5248, 0.5185, 0.517, 0.5368]",0.1793
