round,n_client_req,n_new_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,update_delays,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
21,44,42,24,0,42,"[21.0, 21.0, 20.0, 19.0, 19.0, 18.0, 18.0, 17.0, 17.0, 17.0, 14.0, 12.0, 12.0, 12.0, 9.0, 9.0, 7.0, 4.0, 4.0, 3.0, 3.0, 3.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6775647401809692,0.958333432674408,0.9462568163871765,0.958333432674408,0.958333432674408,0,0,0.9711583924349881,0.1627335548400879
22,46,32,32,0,32,"[22.0, 22.0, 21.0, 20.0, 17.0, 17.0, 17.0, 17.0, 16.0, 16.0, 15.0, 15.0, 14.0, 13.0, 13.0, 13.0, 12.0, 12.0, 11.0, 11.0, 11.0, 11.0, 9.0, 8.0, 8.0, 7.0, 7.0, 6.0, 6.0, 5.0, 5.0, 2.0]",0.6778039336204529,0.9531249403953552,0.9395242929458618,0.9531249403953552,0.9531249403953552,0,0,0.9702127659574468,0.052469491958618164
23,35,51,40,0,51,"[22.0, 20.0, 20.0, 20.0, 20.0, 19.0, 19.0, 19.0, 19.0, 18.0, 18.0, 17.0, 17.0, 17.0, 17.0, 16.0, 16.0, 16.0, 16.0, 15.0, 14.0, 14.0, 13.0, 13.0, 13.0, 11.0, 11.0, 10.0, 10.0, 9.0, 7.0, 6.0, 5.0, 5.0, 5.0, 4.0, 4.0, 4.0, 4.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6765913367271423,0.9640523791313171,0.961600124835968,0.9640523791313171,0.9640523791313171,0,0,0.9721040189125295,0.06861042976379395
24,36,43,43,0,43,"[24.0, 24.0, 24.0, 24.0, 23.0, 22.0, 22.0, 22.0, 21.0, 21.0, 21.0, 20.0, 20.0, 19.0, 19.0, 19.0, 18.0, 18.0, 17.0, 17.0, 17.0, 17.0, 16.0, 15.0, 15.0, 15.0, 14.0, 14.0, 13.0, 13.0, 12.0, 12.0, 12.0, 12.0, 8.0, 8.0, 7.0, 5.0, 4.0, 4.0, 3.0, 2.0, 2.0]",0.678214430809021,0.9534883499145508,0.9238330721855164,0.9534883499145508,0.9534883499145508,0,0,0.9673758865248226,0.0628821849822998
25,39,42,33,0,42,"[25.0, 25.0, 25.0, 25.0, 23.0, 23.0, 22.0, 22.0, 20.0, 18.0, 16.0, 16.0, 16.0, 16.0, 15.0, 15.0, 15.0, 14.0, 13.0, 13.0, 11.0, 10.0, 9.0, 8.0, 7.0, 7.0, 6.0, 6.0, 5.0, 4.0, 3.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6775364875793457,0.9722222685813904,0.937341034412384,0.9722222685813904,0.9722222685813904,0,0,0.9716312056737588,0.17604660987854004
26,47,42,42,0,42,"[26.0, 26.0, 25.0, 25.0, 25.0, 23.0, 23.0, 23.0, 22.0, 22.0, 21.0, 21.0, 21.0, 21.0, 21.0, 20.0, 20.0, 20.0, 19.0, 18.0, 17.0, 17.0, 17.0, 17.0, 16.0, 16.0, 14.0, 14.0, 13.0, 9.0, 9.0, 7.0, 7.0, 7.0, 7.0, 6.0, 6.0, 5.0, 4.0, 4.0, 2.0, 1.0]",0.6784103512763977,0.95634925365448,0.9390971064567566,0.95634925365448,0.95634925365448,0,0,0.9702127659574468,0.061660051345825195
27,39,35,35,0,35,"[27.0, 26.0, 26.0, 24.0, 23.0, 23.0, 23.0, 22.0, 21.0, 20.0, 18.0, 18.0, 18.0, 17.0, 17.0, 17.0, 17.0, 16.0, 16.0, 15.0, 15.0, 13.0, 12.0, 11.0, 11.0, 11.0, 10.0, 7.0, 7.0, 6.0, 6.0, 6.0, 5.0, 2.0, 1.0]",0.6771032214164734,0.9761905074119568,0.950840950012207,0.9761905074119568,0.9761905074119568,0,0,0.9730496453900709,0.056868791580200195
28,48,63,42,0,63,"[28.0, 27.0, 26.0, 25.0, 24.0, 24.0, 23.0, 22.0, 20.0, 20.0, 19.0, 19.0, 19.0, 19.0, 19.0, 18.0, 18.0, 17.0, 16.0, 16.0, 14.0, 14.0, 14.0, 12.0, 12.0, 12.0, 11.0, 11.0, 11.0, 11.0, 10.0, 10.0, 10.0, 9.0, 9.0, 8.0, 6.0, 6.0, 4.0, 4.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6754575371742249,0.9828042387962341,0.963323175907135,0.9828042387962341,0.9828042387962341,0,0,0.9725768321513002,0.08088040351867676
29,48,54,32,0,54,"[29.0, 27.0, 25.0, 25.0, 24.0, 24.0, 23.0, 21.0, 19.0, 19.0, 19.0, 18.0, 18.0, 17.0, 17.0, 17.0, 15.0, 15.0, 15.0, 12.0, 12.0, 12.0, 12.0, 11.0, 11.0, 10.0, 10.0, 7.0, 6.0, 5.0, 3.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.674882173538208,0.9753086566925049,0.9646965861320496,0.9753086566925049,0.9753086566925049,0,0,0.9754137115839243,0.18070006370544434
30,50,57,39,0,57,"[29.0, 29.0, 28.0, 28.0, 24.0, 23.0, 23.0, 23.0, 21.0, 21.0, 21.0, 20.0, 19.0, 19.0, 17.0, 16.0, 16.0, 15.0, 14.0, 13.0, 13.0, 13.0, 12.0, 11.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 8.0, 8.0, 7.0, 6.0, 6.0, 5.0, 5.0, 3.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6736123561859131,0.9780701994895935,0.9629546999931335,0.9780701994895935,0.9780701994895935,0,0,0.9739952718676123,0.07407855987548828
